编号（关联功能）,序列号,部件名（系统）,型号,品牌
FXS-YZ27,ABCXR5770711,自动进样器 S1,Exion LC AC Autosampler,AB SCIEX
FXS-YZ27,ABCXR5770641,自动进样器 S2,Exion LC AC Autosampler,AB SCIEX
FXS-YZ27,AB2CT5770888,柱温箱,Exion LC AC Column Oven-240V,AB SCIEX
FXS-YZ27,ABCBM5772119,控制器 S1,Exion LC Controller,AB SCIEX
FXS-YZ27,ABCBM5772117,控制器 S2,Exion LC Controller,AB SCIEX
FXS-YZ27,ABCBM5772118,控制器 S3,Exion LC Controller,AB SCIEX
FXS-YZ28,10242L,质谱主机,Q EXACTIVE,Thermo
FXS-YZ28,31002025911,机械泵,SV65BIFC 960465V013001,SOGEVAC
FXS-YZ28,7262326,脱气机,SRD-3400,Thermo
FXS-YZ28,8170739,输液泵,NCS-3500RS Nano Pro Flow,Thermo
FXS-YZ28,8170532,自动进样器,WPS-3000 TPL RS,Thermo
FXS-QZ01,US10342611,气相质谱主机,5975C（G3171A）,Agilent
FXS-QZ01,21977268,机械泵,DUO 2.5,Pfeiffer Vacuum
FXS-QZ01,CN10361170,气相主机,7890A（G3440A）,Agilent
FXS-QZ01,CH01212491,进样器,ICES/NMB-001,Agilent
FXS-QZ02,O2052 49 74241 US,气相质谱主机,GCMS-QP 2010 Ultra,Shimadzu
FXS-QZ02,180374410,机械泵,E2M1.5,Edwards
FXS-QZ02,C11314917663 SA,进样器,AOC-20i,Shimadzu
FXS-QZ02,C12055001043 SA,进样盘,AOC-20s,Shimadzu
FXS-QZ03,O2052 49 74260 US,气相质谱主机,GCMS-QP 2010 Ultra,Shimadzu
FXS-QZ03,129426029,机械泵,E2M1.5,Edwards
FXS-QZ03,C11314917672 US,进样器,AOC-20i,Shimadzu
FXS-QZ03,C11514908542 SA,进样盘,AOC-20s,Shimadzu
FXS-QZ04,O2052 50 74503 US,气相质谱主机,GCMS-QP 2010 Ultra,Shimadzu
FXS-QZ04,129414265,机械泵,E2M1.5,Edwards
FXS-QZ04,C12045002501 SA,进样器,AOC-20i,Shimadzu
FXS-QZ04,C11514908527 SA,进样盘,AOC-20s,Shimadzu
FXS-QZ05,O2052 50 74504 US,气相质谱主机,GCMS-QP 2010 Ultra,Shimadzu
FXS-QZ05,129427402,机械泵,E2M1.5,Edwards
FXS-QZ05,C12045002503 SA,进样器,AOC-20i,Shimadzu
FXS-QZ05,C12055001045 SA,进样盘,AOC-20s,Shimadzu
FXS-QZ06,O2052 50 74329 US,气相质谱主机,GCMS-QP 2010 Ultra,Shimadzu
FXS-QZ06,129445305,机械泵,E2M1.5,Edwards
